Título,Autor,Descarga
Principios de Economía,Mankiw,https://clea.edu.mx/biblioteca/files/original/bd2711c3969d92b67fcf71d844bcbaed.pdf
Metodos Fundamentales de Economía Matemática,Chiang,https://elvisjgblog.files.wordpress.com/2018/02/mc3a9todos-fundamentales-de-economc3ada-matemc3a1tica-4ta-edicic3b3n-alpha-c-chiang-freelibros-org.pdf
Analisis Matemático v.2,Haaser,https://calculovectorial16.files.wordpress.com/2016/10/analisis-matematico-vol-2-haaser-la-salle-sullivan.pdf
Finanzas Coorporativas,Ross,https://www.economicas.unsa.edu.ar/afinan/informacion_general/book/libro-finanzasross.pdf
